Line/Series,Wave,Release Month/Year,Size Class,Figure Name
War for Cybertron: Kingdom,Wave 1,January 2021,Deluxe Class,WFC-K6 Warpath
War for Cybertron: Kingdom,Wave 1,January 2021,Deluxe Class,WFC-K7 Paleotrex
War for Cybertron: Kingdom,Wave 2,March 2021,Deluxe Class,WFC-K14 Airazor
War for Cybertron: Kingdom,Wave 2,March 2021,Deluxe Class,WFC-K15 Ractonite (Fossilizer)
War for Cybertron: Kingdom,Wave 2,March 2021,Deluxe Class,WFC-K16 Huffer
War for Cybertron: Kingdom,Wave 2,March 2021,Deluxe Class,WFC-K17 Arcee
War for Cybertron: Kingdom,Wave 3,June 2021,Deluxe Class,WFC-K23 Predacon Scorponok
War for Cybertron: Kingdom,Wave 3,June 2021,Deluxe Class,WFC-K24 Wheeljack
War for Cybertron: Kingdom,Wave 3,June 2021,Deluxe Class,WFC-K25 Wingfinger
War for Cybertron: Kingdom,Wave 3,June 2021,Deluxe Class,WFC-K26 Autobot Tracks
War for Cybertron: Kingdom,Wave 4,August 2021,Deluxe Class,WFC-K31 Shadow Panther
War for Cybertron: Kingdom,Wave 4,August 2021,Deluxe Class,WFC-K34 Waspinator
War for Cybertron: Kingdom,Wave 5,October 2021,Deluxe Class,WFC-K32 Autobot Pipes
War for Cybertron: Kingdom,Wave 5,October 2021,Deluxe Class,WFC-K33 Autobot Slammer
War for Cybertron: Kingdom,Wave 1,January 2021,Voyager Class,WFC-K8 Optimus Primal
War for Cybertron: Kingdom,Wave 1,January 2021,Voyager Class,WFC-K9 Cyclonus
War for Cybertron: Kingdom,Wave 2,March 2021,Voyager Class,WFC-K18 Dinobot
War for Cybertron: Kingdom,Wave 2,March 2021,Voyager Class,WFC-K19 Inferno
War for Cybertron: Kingdom,Wave 3,June 2021,Voyager Class,WFC-K27 Rhinox
War for Cybertron: Kingdom,Wave 4,August 2021,Voyager Class,WFC-K35 Tigatron
War for Cybertron: Kingdom,Wave 5,October 2021,Voyager Class,WFC-K44 Autobot Blaster & Eject
War for Cybertron: Kingdom,Wave 5,October 2021,Voyager Class,WFC-K36 Starscream
War for Cybertron: Kingdom,Wave 1,January 2021,Leader Class,WFC-K10 Megatron (Beast)
War for Cybertron: Kingdom,Wave 1,January 2021,Leader Class,WFC-K11 Optimus Prime
War for Cybertron: Kingdom,Wave 2,March 2021,Leader Class,WFC-K20 Ultra Magnus
War for Cybertron: Kingdom,Wave 3,June 2021,Leader Class,WFC-K28 Galvatron
War for Cybertron: Kingdom,Wave 3,June 2021,Commander Class,WFC-K29 Rodimus Prime
War for Cybertron: Kingdom,Wave 3,June 2021,Titan Class,WFC-K30 Autobot Ark (with Teletraan-1/Autobot Mainframe and Optimus Prime micro-figure)
Transformers Legacy,1,October 2021,Core Class,Autobot Hot Rod (Kingdom refresh)
Transformers Legacy,1,October 2021,Core Class,Iguanus
Transformers Legacy,1,October 2021,Core Class,Skywarp
Transformers Legacy,2,January 2022,Core Class,G2 Universe Megatron
Transformers Legacy,2,January 2022,Core Class,Optimus Prime (Kingdom refresh)
Transformers Legacy,2,January 2022,Core Class,Shockwave
Transformers Legacy,3,May 2022,Core Class,Bomb-Burst
Transformers Legacy,3,May 2022,Core Class,Soundwave (Kingdom refresh)
Transformers Legacy,1,October 2021,Deluxe Class,Prime Universe Arcee
Transformers Legacy,1,October 2021,Deluxe Class,Decepticon Dragstrip
Transformers Legacy,1,October 2021,Deluxe Class,Kickback
Transformers Legacy,1,October 2021,Deluxe Class,Autobot Skids
Transformers Legacy,2,January 2022,Deluxe Class,Elita-1
Transformers Legacy,2,January 2022,Deluxe Class,Prime Universe Knock-Out
Transformers Legacy,2,January 2022,Deluxe Class,Predacon Tarantulas
Transformers Legacy,2,January 2022,Deluxe Class,Decepticon Wild Rider
Transformers Legacy,3,May 2022,Deluxe Class,Crankcase
Transformers Legacy,3,May 2022,Deluxe Class,Dead End
Transformers Legacy,3,May 2022,Deluxe Class,Autobot Pointblank & Autobot Peacemaker
Transformers Legacy,3,May 2022,Deluxe Class,Skullgrin
Transformers Legacy,1,October 2021,Voyager Class,Autobot Blaster & Eject (Kingdom refresh)
Transformers Legacy,1,October 2021,Voyager Class,Prime Universe Bulkhead
Transformers Legacy,2,January 2022,Voyager Class,G2 Universe Jhiaxus
Transformers Legacy,2,January 2022,Voyager Class,Soundwave (Siege redeco)
Transformers Legacy,3,May 2022,Voyager Class,Predacon Inferno
Transformers Legacy,3,May 2022,Voyager Class,Armada Universe Starscream
Transformers Legacy,1,October 2021,Leader Class,Galvatron (Kingdom redeco)
Transformers Legacy,1,October 2021,Leader Class,Laser Optimus Prime
Transformers Legacy,2,January 2022,Leader Class,Blitzwing
Transformers Legacy,3,May 2022,Leader Class,Transmetal II Megatron
Transformers Legacy,3,May 2022,Commander Class,Decepticon Motormaster
Transformers Legacy,3,May 2022,Titan Class,Cybertron Universe Metroplex
Transformers Legacy: Evolution,1,October 2022,Core Class,Dinobot Sludge
Transformers Legacy: Evolution,1,October 2022,Core Class,Dinobot Slug
Transformers Legacy: Evolution,1,October 2022,Core Class,Soundblaster
Transformers Legacy: Evolution,2,January 2023,Core Class,Bomb-Burst (Legacy refresh)
Transformers Legacy: Evolution,2,January 2023,Core Class,Grimlock
Transformers Legacy: Evolution,2,January 2023,Core Class,Nemesis Prime
Transformers Legacy: Evolution,2,January 2023,Core Class,Thundercracker
Transformers Legacy: Evolution,3,May 2023,Core Class,Dinobot Scarr
Transformers Legacy: Evolution,3,May 2023,Core Class,Starscream (Kingdom refresh)
Transformers Legacy: Evolution,3,May 2023,Core Class,Dinobot Swoop
Transformers Legacy: Evolution,4,October 2023,Core Class,Optimus Prime (Legacy refresh)
Transformers Legacy: Evolution,4,October 2023,Core Class,Dinobot Snarl
Transformers Legacy: Evolution,1,October 2022,Deluxe Class,Breakdown
Transformers Legacy: Evolution,1,October 2022,Deluxe Class,Armada Universe Hot Shot
Transformers Legacy: Evolution,1,October 2022,Deluxe Class,Needlenose (w/ Decepticon Sunbeam & Decepticon Zigzag)
Transformers Legacy: Evolution,1,October 2022,Deluxe Class,Scraphook
Transformers Legacy: Evolution,2,January 2023,Deluxe Class,Crashbar
Transformers Legacy: Evolution,2,January 2023,Deluxe Class,Crosscut
Transformers Legacy: Evolution,2,January 2023,Deluxe Class,Animated Universe Prowl
Transformers Legacy: Evolution,2,January 2023,Deluxe Class,Shrapnel
Transformers Legacy: Evolution,3,May 2023,Deluxe Class,Axlegrease
Transformers Legacy: Evolution,3,May 2023,Deluxe Class,Beachcomber & Paradise Parakeet
Transformers Legacy: Evolution,3,May 2023,Deluxe Class,Autobot Devcon
Transformers Legacy: Evolution,3,May 2023,Deluxe Class,Predacon Tarantulas (Legacy refresh)
Transformers Legacy: Evolution,4,October 2023,Deluxe Class,Insecticon Bombshell
Transformers Legacy: Evolution,4,October 2023,Deluxe Class,Detritus
Transformers Legacy: Evolution,4,October 2023,Deluxe Class,Cyberverse Universe Shadow Striker
Transformers Legacy: Evolution,4,October 2023,Deluxe Class,Robots In Disguise 2015 Universe Strongarm
Transformers Legacy: Evolution,1,October 2022,Voyager Class,Maximal Leo Prime
Transformers Legacy: Evolution,1,October 2022,Voyager Class,Comic Universe Tarn
Transformers Legacy: Evolution,2,January 2023,Voyager Class,Metalhawk
Transformers Legacy: Evolution,2,January 2023,Voyager Class,Twincast & Autobot Rewind
Transformers Legacy: Evolution,3,May 2023,Voyager Class,Dirge (Earthrise refresh)
Transformers Legacy: Evolution,3,May 2023,Voyager Class,Nemesis Leo Prime
Transformers Legacy: Evolution,4,October 2023,Voyager Class,Comic Universe Bludgeon
Transformers Legacy: Evolution,4,October 2023,Voyager Class,Trashmaster
Transformers Legacy: Evolution,1,October 2022,Leader Class,Transmetal II Megatron (Legacy refresh)
Transformers Legacy: Evolution,1,October 2022,Leader Class,Prime Universe Skyquake
Transformers Legacy: Evolution,2,January 2023,Leader Class,Blitzwing (Legacy refresh)
Transformers Legacy: Evolution,2,January 2023,Leader Class,Armada Universe Megatron
Transformers Legacy: Evolution,3,May 2023,Leader Class,Prime Universe Dreadwing
Transformers Legacy: Evolution,3,May 2023,Commander Class,Armada Universe Optimus Prime
Transformers Legacy: Evolution,3,May 2023,Titan Class,Decepticon Nemesis
Transformers Legacy: United,1,January 2024,Core Class,Infernac Universe Bouldercrash
Transformers Legacy: United,1,January 2024,Core Class,Energon Universe Megatron
Transformers Legacy: United,1,January 2024,Core Class,Beast Wars II Universe Tasmania Kid
Transformers Legacy: United,2,May 2024,Core Class,Cheetor
Transformers Legacy: United,3,August 2024,Core Class,Energon Universe Galvatron
Transformers Legacy: United,3,August 2024,Core Class,Infernac Universe Geocron
Transformers Legacy: United,1,January 2024,Deluxe Class,Animated Universe Bumblebee
Transformers Legacy: United,1,January 2024,Deluxe Class,Rescue Bots Universe Chase
Transformers Legacy: United,1,January 2024,Deluxe Class,Infernac Universe Magneous
Transformers Legacy: United,1,January 2024,Deluxe Class,Cyberverse Universe Windblade
Transformers Legacy: United,2,May 2024,Deluxe Class,Cyberverse Universe Chromia
Transformers Legacy: United,2,May 2024,Deluxe Class,G1 Universe Autobot Gears
Transformers Legacy: United,2,May 2024,Deluxe Class,Infernac Universe Shard
Transformers Legacy: United,3,August 2024,Deluxe Class,Cybertron Universe Hot Shot
Transformers Legacy: United,3,August 2024,Deluxe Class,Infernac Universe Nucleous
Transformers Legacy: United,3,August 2024,Deluxe Class,Robots in Disguise 2001 Universe Autobot Side Burn
Transformers Legacy: United,3,August 2024,Deluxe Class,Robots In Disguise 2015 Universe Strongarm (Evolution refresh)
Transformers Legacy: United,4,October 2024,Deluxe Class,G1 Universe Optimus Prime
Transformers Legacy: United,4,October 2024,Deluxe Class,G1 Universe Quake / G1 Universe Heater / G1 Universe Tiptop
Transformers Legacy: United,4,October 2024,Deluxe Class,Cyberverse Universe Slipstream
Transformers Legacy: United,5,Febuary 2025,Deluxe Class,G2 Universe Breakdown
Transformers Legacy: United,5,Febuary 2025,Deluxe Class,Origin Bumblebee (Buzzworthy Bumblebee refresh)
Transformers Legacy: United,5,Febuary 2025,Deluxe Class,Autobot Cosmos (Legacy refresh)
Transformers Legacy: United,5,Febuary 2025,Deluxe Class,Armada Universe Wheeljack
Transformers Legacy: United,1,January 2024,Voyager Class,Animated Universe Optimus Prime
Transformers Legacy: United,1,January 2024,Voyager Class,Prime Universe Thundertron
Transformers Legacy: United,2,May 2024,Voyager Class,Beast Wars Universe Silverbolt
Transformers Legacy: United,2,May 2024,Voyager Class,Cybertron Universe Starscream
Transformers Legacy: United,3,August 2024,Voyager Class,Cybertron Universe Vector Prime
Transformers Legacy: United,4,October 2024,Voyager Class,G1 Universe Metalhawk
Transformers Legacy: United,4,October 2024,Voyager Class,Animated Universe Decepticon Motormaster
Transformers Legacy: United,5,Febuary 2025,Voyager Class,G1 Universe Ramjet (Earthrise refresh)
Transformers Legacy: United,5,Febuary 2025,Voyager Class,Comic Universe Tarn (Evolution refresh)
Transformers Legacy: United,1,January 2024,Leader Class,G2 Universe Laser Optimus Prime (Legacy refresh)
Transformers Legacy: United,1,January 2024,Leader Class,Beast Wars Universe Tigerhawk
Transformers Legacy: United,2,May 2024,Leader Class,G1 Triple Changer Sandstorm
Transformers Legacy: United,3,August 2024,Leader Class,Armada Universe Galvatron
Transformers Legacy: United,3,August 2024,Leader Class,G1 Universe Soundwave / G1 Universe Decepticon Rumble / G1 Universe Buzzsaw / G1 Universe Ravage
Transformers Legacy: United,4,October 2024,Leader Class,Galaxy Shuttle (Legacy refresh)
Transformers Legacy: United,4,October 2024,Leader Class,Overcharge
Transformers Legacy: United,3,August 2024,Commander Class,Beast Wars Universe Magmatron
Transformers Legacy: United,3,August 2024,Titan Class,Armada Universe Tidal Wave
